store_type,availability,location,rating  ,society,total_sqft,employees ,programs,programs_val,Dpmo
General Store,Ready To Move,Varthur,2,Srhida ,#VALUE!,17,IHS,2,50
General Store,44030,Kundalahalli,2,Shitt S,47025,2,Locker,3,84
Super Market,Ready To Move,Budigere,2,FlsicFl,11898,1,IHS,2,96
Super Market,Ready To Move,Haralur Road,2,,16160,35,IHS,2,33
Super Market,Ready To Move,Lakshminarayana Pura,2,Itelaa ,10800,23,IHS,2,100
Drug Store,Ready To Move,Kothanur,4,,38225,1,Locker,3,64
Super Market,Ready To Move,Uttarahalli,3,GrrvaGr,28750,31,Helix,4,71
General Store,Ready To Move,Nagaraja Garden,3,,40582.25,3,IHS,2,19
Super Market,44186,HSR Layout,2,Sodgere,28200,37,Locker,3,100
Super Market,Ready To Move,Konanakunte,4,DSvar S,29900,10,IHS,2,100
Super Market,Ready To Move,Hosa Road,2,,45000,6,Locker,3,11
Super Market,Ready To Move,T.C PALYA,2,,12000,10,IHS,2,44
Super Market,43909,Haralur Road,2,Sosisic,29750,25,Locker,3,62
General Store,Ready To Move,Kashi Nagar,2,DSesthr,37500,15,IHS,2,99
Super Market,Ready To Move,Koramangala,3,Skacak ,27000,18,Locker,3,67
General Store,Ready To Move,Bannerghatta Road,3,,22500,9,IHS,2,72
Super Market,Ready To Move,Hongasandra,2,Adxira ,65000,49,Locker,3,31
General Store,Ready To Move,Akshaya Nagar,2,,32625,2,IHS,2,77
Super Market,Ready To Move,Kodathi,2,GrrvaGr,41400,8,3P,1,61
Super Market,Ready To Move,TC Palaya,2,SaireSa,21225,47,Locker,3,80
Super Market,Ready To Move,Kenchenhalli,4,JRrnauv,73500,14,Helix,4,94
Gas Station,Ready To Move,Sarjapur  Road,2,VaoldMa,31250,0,Locker,3,87
Super Market,Ready To Move,Green Glen Layout,3,Eladero,21000,48,Locker,3,81
General Store,Ready To Move,Basavangudi,2,Bhmesy ,27500,2,IHS,2,53
Super Market,Ready To Move,Talaghattapura,2,CMhidal,24550,9,Locker,3,72
Super Market,Ready To Move,Electronic City,2,Kut 3or,25825,10,Locker,3,65
General Store,Ready To Move,Horamavu Agara,2,KsonsCa,10800,19,IHS,2,29
Super Market,Ready To Move,Anekal,2,Saensar,26800,36,Locker,3,50
General Store,Ready To Move,Vidyaranyapura,7,,35250,0,Locker,3,40
General Store,Ready To Move,Banashankari Stage III,2,,24000,7,IHS,2,37
Super Market,Ready To Move,NGR Layout,2,Itvir M,40975,35,IHS,2,10
Drug Store,Ready To Move,Kacharakanahalli,2,,35650,8,IHS,2,98
Super Market,Ready To Move,Sarjapur  Road,3,Golmsn ,26750,29,Locker,3,71
Super Market,Ready To Move,Chandapura,3,Moity S,22600,18,IHS,2,93
Super Market,44186,Giri Nagar,2,PrarePa,27750,40,IHS,2,73
General Store,Ready To Move,Doddaballapur,3,,4950,10,Locker,3,48
Super Market,Ready To Move,Varthur,4,IBityin,37500,45,IHS,2,74
Super Market,Ready To Move,Cox Town,3,Klark L,29750,40,Locker,3,24
Super Market,Ready To Move,Yelahanka,3,GMown E,30000,35,IHS,2,54
Super Market,Ready To Move,Basavanagara,1,Ceezey ,49375,19,Locker,3,80
Super Market,Ready To Move,Begur Road,2,,20000,38,Locker,3,51
Super Market,Ready To Move,Puttanahalli,2,,29375,41,IHS,2,74
General Store,Ready To Move,Jakkur,3,GoilsDa,36600,8,Locker,3,31
General Store,Ready To Move,Maruthi Extension,5,DSgam S,31250,19,IHS,2,40
Super Market,Ready To Move,Nyanappana Halli,2,Papusa ,41250,4,IHS,2,43
Super Market,Ready To Move,Talaghattapura,3,,25875,45,IHS,2,98
Super Market,Ready To Move,Kasavanhalli,3,,26875,32,Helix,4,13
General Store,Ready To Move,CV Raman Nagar,2,Mancy R,14751,13,Locker,3,36
Super Market,Ready To Move,Haralur Road,3,,4140,45,IHS,2,91
General Store,43908,7th Phase JP Nagar,3,,18750,1,IHS,2,55
Super Market,Ready To Move,Yeshwanthpur,3,Vaent V,25650,36,Helix,4,35
Super Market,Ready To Move,Amruthahalli,4,,33000,44,IHS,2,3
General Store,Ready To Move,Hormavu,2,,45000,9,Helix,4,95
Super Market,Ready To Move,Indira Nagar,3,Soosea ,40000,23,IHS,2,94
General Store,Ready To Move,1Channasandra,14,,#VALUE!,10,3P,1,16
Super Market,44185,Whitefield,2,Myple M,26625,13,3P,1,50
Super Market,44183,Adityanagar,1,BSlasin,33250,7,IHS,2,91
Super Market,Ready To Move,Kengeri,2,Shateor,102500,12,Locker,3,13
Super Market,44184,Bannerghatta Road,2,Oreldhi,80000,9,IHS,2,76
Drug Store,43939,Green Glen Layout,3,,36000,1,Helix,4,70
Super Market,Ready To Move,Talaghattapura,2,,40450,6,3P,1,72
General Store,Ready To Move,Rajaji Nagar,3,,45975,15,3P,1,92
Drug Store,Ready To Move,7th Phase JP Nagar,2,,15000,2,IHS,2,16
Super Market,Ready To Move,"Yelahanka,MVIT college",1,PhestOn,36875,15,IHS,2,39
Super Market,Ready To Move,Anjana Nagar,2,PuhtsHe,5940,21,IHS,2,24
General Store,Ready To Move,Kodihalli,3,JahanSa,6150,9,Locker,3,23
Drug Store,Ready To Move,Kammasandra,4,,4500,4,Helix,4,27
Drug Store,Ready To Move,3rd Block HBR Layout,3,,29700,3,IHS,2,87
Super Market,Ready To Move,Kasavanhalli,2,Aaityi ,30750,42,IHS,2,58
Super Market,Ready To Move,Kasavanhalli,3,,9000,48,Locker,3,32
Super Market,Ready To Move,Satyasaibaba Layout,2,,43450,39,Locker,3,50
Super Market,Ready To Move,Marathahalli,4,,43311.5,4,IHS,2,54
General Store,Ready To Move,Harlur,4,Corus C,24375,19,IHS,2,7
Super Market,Ready To Move,Rest House Road,5,,26725,29,Locker,3,69
Drug Store,Ready To Move,Whitefield,3,,10980,5,IHS,2,93
Super Market,43969,Dodsworth Layout,6,SLityee,#VALUE!,39,Locker,3,14
General Store,Ready To Move,Mysore Road,2,,45250,5,IHS,2,95
Super Market,Ready To Move,Hennur Road,3,Seityen,46650,45,IHS,2,42
Super Market,Ready To Move,Hosa Road,2,,16250,40,Helix,4,48
Gas Station,Ready To Move,Nallurhalli,3,CIHSea ,24000,22,Helix,4,100
Super Market,Ready To Move,Kengeri,3,Shodsir,27875,21,IHS,2,47
Super Market,Ready To Move,Whitefield,4,Emine P,25300,8,IHS,2,38
Super Market,Ready To Move,Kothannur,3,Somumys,32500,38,IHS,2,7
Super Market,Ready To Move,Yelahanka,1,Daganva,13293,44,Locker,3,71
General Store,Ready To Move, Devarachikkanahalli,2,Asara S,9000,17,Locker,3,57
Drug Store,Ready To Move,Bettahalsoor,3,,43450,2,Locker,3,71
Drug Store,Ready To Move,Hebbal,4,,31600,7,Locker,3,40
Super Market,Ready To Move,Dasarahalli,2,,26250,7,IHS,2,17
General Store,43968,Haralur Road,2,Soresea,15200,9,3P,1,1
Super Market,Ready To Move,Banashankari Stage VI,3,SJityaz,3600,0,IHS,2,59
Drug Store,Ready To Move,Jalahalli,3,Soitya ,29850,7,Helix,4,10
Super Market,Ready To Move,Kanakpura Road,1,Prtanha,6000,37,Locker,3,44
General Store,Ready To Move,Budigere,3,RMudeat,13500,14,IHS,2,88
General Store,Ready To Move,Thanisandra,2,,35200,13,Locker,3,20
General Store,Ready To Move,JP Nagar,4,,36000,9,IHS,2,34
Drug Store,Ready To Move,Sahakara Nagar,3,,27300,6,IHS,2,24
Super Market,19-Dec,Hessarghatta,3,,31000,44,IHS,2,9
Super Market,44093,Rajiv Nagar,2,DSersus,26750,37,3P,1,27
Super Market,Ready To Move,OMBR Layout,4,DSestre,10575,20,Locker,3,46
Drug Store,Ready To Move,Whitefield,2,,37340,9,Locker,3,27
Super Market,Ready To Move,Kereguddadahalli,6,Prityel,16250,26,3P,1,15
Drug Store,Ready To Move,Haralur Road,2,,14875,8,IHS,2,15
General Store,Ready To Move,Kaggadasapura,2,,22500,17,Locker,3,81
Super Market,44061,Dodsworth Layout,4,Puachal,70000,17,Locker,3,69
Super Market,18-Apr,Kodigehaali,3,,30000,48,Locker,3,36
General Store,Ready To Move,Nagarbhavi,3,,43875,11,IHS,2,26
Super Market,Ready To Move,Whitefield,3,Itelaa ,38125,2,IHS,2,74
Super Market,43848,Bidrahalli,3,Prensya,12000,25,Locker,3,29
Super Market,Ready To Move,Channasandra,4,JRrnauv,40000,15,IHS,2,62
Super Market,Ready To Move,Yelahanka New Town,1,Choomu ,28000,26,3P,1,44
Super Market,Ready To Move,CV Raman Nagar,3,Peide L,30000,24,IHS,2,44
Super Market,44183,Whitefield,2,Puveshe,23375,4,IHS,2,33
General Store,Ready To Move,Raja Rajeshwari Nagar,3,Nentsan,36025,18,Helix,4,72
General Store,Ready To Move,1st Phase JP Nagar,4,Prdhue ,38300,19,IHS,2,56
Super Market,44029,Sunkadakatte,1,Unm 2El,33570,0,Locker,3,64
Super Market,Ready To Move,Banashankari,2,,10485,19,Helix,4,76
Super Market,44183,Ramamurthy Nagar,3,Skacak ,15000,17,3P,1,15
Super Market,Ready To Move,Koramangala,3,SLtias ,6000,2,Locker,3,75
General Store,Ready To Move,Koramangala,3,JahanSa,6000,8,Locker,3,5
Super Market,Ready To Move,Nagarbhavi,2,Prrtht ,76500,20,IHS,2,26
Super Market,Ready To Move,Kothanur,2,,26250,36,IHS,2,64
Super Market,44031,Marathahalli,2,Soazak ,34125,46,Locker,3,71
Super Market,44184,Sarjapur,4,Shestlo,70000,22,Locker,3,33
Super Market,44153,Badavala Nagar,3,Asarqz ,9450,20,IHS,2,73
Super Market,Ready To Move,Whitefield,3,C ensnd,35075,5,Helix,4,94
Drug Store,Ready To Move,HSR Layout,3,,19800,6,Helix,4,50
Super Market,Ready To Move,BSM Extension,2,Brway G,27000,2,Helix,4,45
Super Market,Ready To Move,Kodigehalli,4,VBvenal,26500,21,3P,1,51
General Store,Ready To Move,Ganga Nagar Extension,3,Sanetra,11430,12,IHS,2,26
General Store,Ready To Move,Yelahanka New Town,3,Prentra,31300,9,IHS,2,7
Super Market,Ready To Move,Dommasandra,2,,28200,20,Locker,3,95
General Store,Ready To Move,Gubbalala,3,,29700,18,IHS,2,98
Super Market,Ready To Move,Amrita Nagar,6,Amnavdr,31125,36,Locker,3,27
Super Market,Ready To Move,Bannerghatta Road,2,Sarlsm ,27125,36,Locker,3,20
Super Market,Ready To Move,Malleshwaram,2,,24000,36,Locker,3,45
Super Market,44030,Frazer Town,4,Ceiti I,32500,25,IHS,2,72
Super Market,Ready To Move,Rajiv Nagar,2,Cearkry,6000,26,IHS,2,45
Super Market,43908,BHEL Layout,4,,15750,9,IHS,2,57
General Store,Ready To Move,Whitefield,3,RothaVa,29650,11,Locker,3,14
Super Market,Ready To Move,Chandapura,1,,11250,42,Helix,4,95
Super Market,Ready To Move,Bannerghatta,3,,42925,27,IHS,2,25
Super Market,Ready To Move,"asha township, off hennur road",5,Pyikad ,35625,4,Locker,3,64
General Store,Ready To Move,Uttarahalli,3,,49625,12,Locker,3,42
Super Market,Ready To Move,Yelahanka,1,,118750,36,IHS,2,73
General Store,Ready To Move,Dollars Colony,4,,29700,3,Helix,4,76
Drug Store,Ready To Move,Nandi Durga Road,3,,38375,6,IHS,2,37
Super Market,Ready To Move,Munivenkatppa Layout,2,Sonue A,36900,0,3P,1,26
Super Market,Ready To Move,Yelahanka,2,Caiseur,15660,10,IHS,2,12
Super Market,44061,Balagere,2,,28625,36,Locker,3,86
Super Market,Ready To Move,Prestige Sunrise,1,Inden O,45975,43,IHS,2,89
Super Market,Ready To Move,Frazer Town,3,,12000,11,IHS,2,19
General Store,Ready To Move,Ambedkar Nagar,2,,12330,18,IHS,2,51
Super Market,Ready To Move,Ananth Nagar,2,,37050,12,IHS,2,37
Super Market,Ready To Move,Bannerghatta Road,2,,48000,34,Locker,3,70
Super Market,Ready To Move,Uttarahalli,2,,29500,20,Locker,3,2
Super Market,Ready To Move,Kashi Nagar,2,GrrvaGr,22500,20,IHS,2,89
Super Market,Ready To Move,7th Phase JP Nagar,3,Pronyt ,30090,48,3P,1,39
Drug Store,Ready To Move,Harohalli,2,,47950,6,Locker,3,30
General Store,Ready To Move,Konanakunte,3,Maity W,29125,4,3P,1,45
Drug Store,Ready To Move,Marathahalli,2,,28775,8,Locker,3,50
General Store,44030,Kudlu Gate,3,,33325,4,IHS,2,18
Super Market,17-Oct,Balagere,2,Bhmesy ,31300,17,Locker,3,99
Super Market,Ready To Move,Raja Rajeshwari Nagar,3,,9207,6,IHS,2,12
Super Market,43908,Yeshwanthpur,3,,32125,45,Helix,4,66
Super Market,Ready To Move,Kaggadasapura,3,,13500,37,IHS,2,21
Drug Store,Ready To Move,"Off Sarjapur road, ",4,,8460,6,IHS,2,93
General Store,44001,Gottigere,3,Caonand,31750,15,3P,1,57
Super Market,Ready To Move,Whitefield,3,GMown E,31250,8,Locker,3,15
Super Market,Ready To Move,Kalena Agrahara,2,,38250,36,Helix,4,15
Super Market,Ready To Move,Whitefield,2,,24000,25,IHS,2,8
Drug Store,Ready To Move,Sarjapur  Road,3,,#VALUE!,0,3P,1,58
Super Market,18-Nov,Rajaji Nagar,4,AsastDe,10017,35,IHS,2,27
Super Market,Ready To Move,Banashankari,,,14580,31,Locker,3,46
General Store,Ready To Move,Kundalahalli,4,SNity S,33750,17,Locker,3,48
Super Market,Ready To Move,OMBR Layout,4,,16880,28,Locker,3,100
Super Market,18-May,Dodda Nekkundi,2,Dheusag,30475,15,Locker,3,95
Drug Store,Ready To Move,Raja Rajeshwari Nagar,3,,45750,7,Locker,3,57
Super Market,43969,1st Block HRBR Layout,3,,27125,2,IHS,2,45
General Store,Ready To Move,Amblipura,3,GKityde,8800,6,IHS,2,79
General Store,Ready To Move,Uttarahalli,3,ShdIHSa,30000,4,Locker,3,99
Super Market,Ready To Move,Kammasandra,3,Rarthne,30000,42,3P,1,21
Super Market,Ready To Move,Haralur Road,3,,54500,41,IHS,2,30
General Store,Ready To Move,Uttarahalli,3,Arade A,24300,1,IHS,2,80
Super Market,Ready To Move,Basavanapura,2,,43500,20,Locker,3,53
Super Market,Ready To Move,6th block Koramangala,3,Srystme,26625,19,3P,1,44
Super Market,43850,Byatarayanapura,1,DNncasa,39650,17,IHS,2,16
Super Market,Ready To Move,Kadugodi,3,AdestAs,25025,4,Helix,4,19
Super Market,Ready To Move,Gubbalala,2,IBityin,30250,23,Locker,3,3
Super Market,Ready To Move,Kengeri Satellite Town,2,Prensya,12000,3,IHS,2,48
Super Market,43908,Hegde Nagar,3,,39250,8,Locker,3,18
Super Market,18-May,sarjapura main road,4,SMuilan,24300,14,IHS,2,12
Super Market,Ready To Move,Gopalkrishna Nagar,2,,14850,42,Locker,3,58
Super Market,Ready To Move,Kudlu,2,Prrtht ,38500,49,Locker,3,48
Super Market,43848,Raja Rajeshwari Nagar,2,,13500,26,Locker,3,67
Super Market,Ready To Move,Devanahalli,2,Bregae ,25900,36,IHS,2,72
Super Market,Ready To Move,GM Palaya,2,Chllsev,6500,16,IHS,2,71
Super Market,Ready To Move,Hebbal,2,Bhmesy ,91425,31,Helix,4,68
Super Market,Ready To Move,Whitefield,2,Sahtsva,27825,19,Locker,3,50
Super Market,Ready To Move,Hosur Road,2,,50250,31,IHS,2,58
General Store,Ready To Move,Kanaka Nagar,3,,37250,14,3P,1,51
Super Market,Ready To Move,Basaveshwara Nagar,6,,15000,40,Locker,3,77
General Store,Ready To Move,TC Palaya,2,ImiteEl,14418,7,Locker,3,72
General Store,Ready To Move,AECS Layout,2,MCtleas,31000,17,IHS,2,23
General Store,Ready To Move,Kammagondahalli,6,,60775,2,Helix,4,97
Super Market,Ready To Move,Akshayanagara East,2,Dieldli,24400,39,IHS,2,17
Drug Store,Ready To Move,Electronic City,3,FeowsMe,40850,7,Locker,3,62
Drug Store,44092,Green Glen Layout,3,Prood G,38750,8,IHS,2,40
Super Market,Ready To Move,Sarjapur  Road,3,Deiveer,12000,49,Locker,3,86
Super Market,Ready To Move,Banaswadi,6,Reverve,69750,33,Locker,3,46
Super Market,Ready To Move,Margondanahalli,2,,12000,19,IHS,2,10
Super Market,Ready To Move,Chikbasavanapura,2,Brony H,23250,8,3P,1,69
Drug Store,Ready To Move,Electronic City,2,,31975,3,IHS,2,81
Super Market,43969,Konena Agrahara,2,Bregae ,43100,40,IHS,2,83
General Store,Ready To Move,Double Road,3,,15000,9,IHS,2,45
Super Market,Ready To Move,KR Puram,2,Dhalsh ,8000,4,IHS,2,18
Super Market,Ready To Move,Raja Rajeshwari Nagar,2,Hivesdr,38750,22,IHS,2,94
Super Market,44184,Whitefield,2,GoityEt,51250,27,Locker,3,61
Super Market,44183,Yelahanka New Town,1,Pehtsa ,5000,35,Locker,3,3
Super Market,Ready To Move,Chinnapanahalli,2,Bhave E,45000,31,Locker,3,28
Super Market,Ready To Move,Hennur,2,SrncyRe,43500,30,IHS,2,30
Super Market,Ready To Move,Attibele,2,,29875,15,IHS,2,32
General Store,Ready To Move,Nagarbhavi,3,,13365,18,IHS,2,57
Super Market,19-Mar,Keshava Nagar,3,PrensKe,23600,4,3P,1,10
General Store,18-Dec,Hennur Road,4,,33525,10,IHS,2,60
Super Market,44184,Narayanapura,2,Oreldhi,#VALUE!,35,Locker,3,84
General Store,Ready To Move,Jalahalli,3,,32500,10,Locker,3,59
General Store,Ready To Move,Varthur,3,HMRWAyo,27125,14,Locker,3,49
Super Market,Ready To Move,Raja Rajeshwari Nagar,2,,14706,15,3P,1,96
Super Market,Ready To Move,Kasavanhalli,3,,40000,26,IHS,2,43
Super Market,Ready To Move,Hennur Road,3,RSntsAp,30750,2,IHS,2,29
Drug Store,Ready To Move,BTM 2nd Stage,8,,9000,7,IHS,2,37
Super Market,Ready To Move,Yelahanka,3,VBavaai,10800,41,IHS,2,43
Super Market,Ready To Move,Haralur Road,2,Soitya ,#VALUE!,15,Locker,3,63
Super Market,44061,Old Madras Road,3,,16850,6,Locker,3,45
Drug Store,Ready To Move,Hosa Road,2,,28825,2,Locker,3,87
General Store,Ready To Move,Kudlu,2,,23750,2,IHS,2,60
Super Market,Ready To Move,Electronic City,2,SLiritn,8500,3,IHS,2,86
General Store,Ready To Move,Thanisandra,2,,40250,12,IHS,2,57
General Store,Ready To Move,Whitefield,2,,9000,2,IHS,2,92
Super Market,Ready To Move,Marathi Layout,1,SVlesas,15705,27,Locker,3,74
General Store,Ready To Move,5th Phase JP Nagar,2,Srentea,15120,16,Locker,3,4
Super Market,Ready To Move,Thyagaraja Nagar,1,SontsAp,42500,23,IHS,2,1
General Store,Ready To Move,Kudlu Gate,2,Prageta,13800,10,IHS,2,88
Super Market,Ready To Move,Sarjapur  Road,5,,67250,20,IHS,2,49
Super Market,Ready To Move,Uttarahalli,2,MBodsen,30625,20,IHS,2,71
Super Market,Ready To Move,Ananth Nagar,3,SraveSL,36250,20,IHS,2,19
Super Market,44184,T c palya,3,Shestlo,29375,3,IHS,2,19
Super Market,Ready To Move,Old Madras Road,2,Paestol,5805,35,IHS,2,15
General Store,21-Dec,BTM 2nd Stage,2,,32050,10,Locker,3,4
Super Market,18-May,Alur,1,Dieldli,6750,28,Helix,4,66
Super Market,Ready To Move,Judicial Layout,7,,11780,49,IHS,2,26
Super Market,Ready To Move,Begur Road,2,Itelaa ,19875,36,IHS,2,87
Super Market,Ready To Move,Kenchenahalli,2,,29250,37,Locker,3,100
Super Market,Ready To Move,4th Phase JP Nagar,2,Prlla C,12150,42,IHS,2,63
Super Market,Ready To Move,Bommanahalli,2,Shnto F,39000,37,Locker,3,59
Super Market,Ready To Move,Nagasandra,6,Prldsri,46150,46,IHS,2,94
Drug Store,Ready To Move,Ramagondanahalli,2,,28500,1,IHS,2,35
General Store,Ready To Move,Outer Ring Road East,2,PlhtsHe,14525,3,IHS,2,32
Super Market,19-Jul,Whitefield,1,Soazak ,97625,36,Locker,3,7
Super Market,Ready To Move,Gubbalala,3,Sowerew,24875,47,Locker,3,59
Super Market,Ready To Move,Rachenahalli,2,,32550,26,Locker,3,58
General Store,Ready To Move,Kumaraswami Layout,3,,#VALUE!,0,Locker,3,44
Super Market,Ready To Move,Rayasandra,5,NRowse ,40000,29,3P,1,55
Super Market,19-Mar,Thigalarapalya,3,Bhe 2ko,30250,43,Locker,3,63
Drug Store,Ready To Move,Hosur Road,2,,32125,8,IHS,2,8
Super Market,Ready To Move,Bommasandra,2,Ozensve,51525,47,Locker,3,52
Drug Store,44030,Budigere,2,,26750,6,IHS,2,71
Drug Store,Ready To Move,Srinivasa Nagar,3,,15000,9,IHS,2,89
General Store,Ready To Move,NS Palya,2,,14400,11,IHS,2,27
Super Market,43969,Cunningham Road,3,SRidsrc,12000,17,Locker,3,30
Super Market,Ready To Move,Outer Ring Road East,3,BrontLa,39375,3,IHS,2,95
Super Market,Ready To Move,Judicial Layout,3,Proodt ,47925,17,3P,1,68
Drug Store,Ready To Move,Electronic City,2,,50000,4,IHS,2,79
Super Market,Ready To Move,Yelahanka,5,,10269,20,Locker,3,99
Super Market,17-Apr,Rachenahalli,2,Koagati,45100,5,Locker,3,96
Super Market,44061,Varthur,2,SunceEs,26250,38,Helix,4,100
Super Market,44061,Kogilu,3,Aroomba,21750,6,Locker,3,98
Super Market,Ready To Move,Lingarajapuram,1,Veyalin,19800,34,Locker,3,76
Drug Store,Ready To Move,"ECC Road, Whitefield, ",3,,29750,0,Locker,3,19
Super Market,Ready To Move,Ramamurthy Nagar,1,Alivae ,28125,45,IHS,2,53
General Store,Ready To Move,Bannerghatta Road,4,BrnoxEq,12000,8,IHS,2,86
Super Market,43908,"Hoodi Circle, ",2,Alestrb,15080,48,Locker,3,39
Super Market,Ready To Move,Akshaya Nagar,4,,30400,13,IHS,2,52
Drug Store,Ready To Move,TC Palaya,2,,43200,5,Locker,3,99
Super Market,Ready To Move,Uttarahalli,3,Shvarji,30000,16,Locker,3,20
Super Market,Ready To Move,Magadi Road,3,Prlla C,29125,10,IHS,2,51
Drug Store,44153,Whitefield,3,PrhyaK ,36875,6,Locker,3,66
Drug Store,43879,Hoodi,3,,24000,4,3P,1,34
Super Market,Ready To Move,Uttarahalli,2,Contsci,9180,33,IHS,2,72
Super Market,Ready To Move,Sarakki Nagar,4,,38800,32,Locker,3,47
Super Market,Ready To Move,Electronic City Phase II,2,,40700,31,Helix,4,88
Super Market,Ready To Move,Sarjapur  Road,2,Prillot,10800,5,IHS,2,93
Super Market,Ready To Move,Ambedkar Nagar,4,Suitea ,46050,15,IHS,2,74
Super Market,Ready To Move,Yeshwanthpur,1,SReafin,28250,23,IHS,2,41
Super Market,Ready To Move,Marathalli bridge,3,Afncyad,14580,25,Locker,3,49
Super Market,Ready To Move,Bannerghatta Road,2,Maodser,14725,44,Helix,4,54
Super Market,Ready To Move,Basaveswarnagar,6,,41600,13,IHS,2,8
General Store,Ready To Move,Sarjapur  Road,2,Malmser,9963,17,3P,1,61
Super Market,Ready To Move,Banashankari,2,,43950,41,Locker,3,80
Super Market,Ready To Move,Rachenahalli,3,FoapeWa,52500,39,Locker,3,5
Super Market,Ready To Move,Electronic City,3,SoapeSu,13068,29,3P,1,70
General Store,Ready To Move,MCECHS  layout,2,NCowsar,29100,11,3P,1,49
Drug Store,18-Apr,Doddakannelli,6,,46700,6,Locker,3,72
Super Market,44186,Sarjapur  Road,3,PrarePa,9000,26,IHS,2,80
General Store,Ready To Move,Attibele,2,PuandHi,9180,11,Locker,3,55
Super Market,44184,Halanayakanahalli,3,SheldGr,6750,12,IHS,2,14
Super Market,Ready To Move,Thubarahalli,4,Vatra N,20000,14,Locker,3,95
Super Market,Ready To Move,Kammasandra,2,Pronyt ,30625,37,Locker,3,93
Super Market,Ready To Move,Yemlur,5,,11673,33,Locker,3,6
General Store,Ready To Move,Kanakpura Road,3,,12735,16,Locker,3,3
Gas Station,44183,Sarjapur  Road,3,Rosha I,26500,8,Helix,4,53
Super Market,44183,Horamavu Banaswadi,2,Magiaya,9684,16,Locker,3,72
Super Market,18-Dec,Hosakerehalli,4,Magiaya,56700,47,IHS,2,72
General Store,44185,Mylasandra,2,,44431.5,2,3P,1,36
Drug Store,Ready To Move,Tirumanahalli,2,,18500,0,Locker,3,19
Drug Store,Ready To Move,Rachenahalli,2,,34850,6,3P,1,100
Super Market,Ready To Move,Dinnur,2,Dhalsh ,20000,27,IHS,2,80
Drug Store,Ready To Move,Sarjapur  Road,2,,#VALUE!,4,Locker,3,65
General Store,Ready To Move,Hennur,2,Srshq T,62500,19,IHS,2,68
General Store,Ready To Move,Rachenahalli,3,,34750,8,Locker,3,37
Super Market,Ready To Move,Electronic City Phase II,2,Srhan P,22600,39,Helix,4,48
Super Market,Ready To Move,Electronic City,2,Srestve,15000,7,IHS,2,56
Super Market,Ready To Move,Tasker Town,2,Saarlth,12000,24,Locker,3,19
Drug Store,Ready To Move,Sarjapur  Road,4,AreraRe,31000,5,IHS,2,74
Super Market,Ready To Move,Kengeri,2,,37250,16,Locker,3,53
Super Market,Ready To Move,Gubbalala,3,Mahosya,19225,44,Locker,3,7
Super Market,Ready To Move,Jakkur,2,SrEndPo,14625,20,Locker,3,83
Super Market,Ready To Move,Chikka Tirupathi,4,InhtsHe,23750,6,Locker,3,83
Super Market,43969,Ganga Nagar,2,AsNowre,39250,21,Locker,3,2
Super Market,44061,Margondanahalli,2,,15660,32,IHS,2,98
General Store,Ready To Move,Electronics City Phase 1,3,Raeusiy,41875,6,3P,1,31
Super Market,18-May,Kaveri Nagar,5,Shitt S,24000,1,IHS,2,61
Drug Store,44183,Choodasandra,2,Janaala,36250,3,IHS,2,10
Super Market,Ready To Move,Chikka Tirupathi,5,,12000,14,IHS,2,29
Super Market,Ready To Move,Vittasandra,2,CaestSr,71250,31,Helix,4,13
Super Market,Ready To Move,Murugeshpalya,3,Vaontos,10197,31,Locker,3,95
Super Market,Ready To Move,Sarjapur  Road,4,KHage G,8100,49,IHS,2,16
Super Market,Ready To Move,Haralur Road,2,,8550,36,IHS,2,86
General Store,Ready To Move,"Thanisandra Main Road, ",2,,23500,19,IHS,2,16
Super Market,Ready To Move,NGR Layout,2,BrdgeNo,99000,4,Locker,3,95
General Store,18-Dec,Jakkur,2,Itelaa ,37500,5,Locker,3,86
Super Market,Ready To Move,Bhoopsandra,3,Maoma P,35750,3,IHS,2,5
Super Market,Ready To Move,7th Phase JP Nagar,2,,9855,34,IHS,2,1
Drug Store,Ready To Move,Srinivasa Nagar,4,,16200,8,IHS,2,6
Drug Store,Ready To Move,Kothanur,3,Epllan ,29525,7,IHS,2,65
Super Market,Ready To Move,Sarjapur  Road,2,Supleon,12000,7,Locker,3,80
Super Market,18-May,Hegde Nagar,3,NellsKo,36450,36,Locker,3,14
Super Market,Ready To Move,Uttarahalli,3,PrncyRe,23000,49,IHS,2,50
Super Market,Ready To Move,Magadi Road,4,,28625,0,IHS,2,71
Super Market,44183,Yelachenahalli,2,,26250,8,Locker,3,14
Super Market,Ready To Move,Malleshpalya,3,Coora S,28800,0,Helix,4,2
Super Market,44184,Shantiniketan Layout,4,SheldGr,31050,35,Locker,3,66
Super Market,Ready To Move,Arehalli,3,,53625,41,Locker,3,60
Super Market,Ready To Move,Electronic City,3,Itelaa ,450,5,Locker,3,81
Drug Store,Ready To Move,Indira Nagar,3,,#VALUE!,7,IHS,2,40
Super Market,Ready To Move,Narayanapura,3,Prensya,7000,10,IHS,2,2
General Store,Ready To Move,Sarjapur  Road,2,Arora A,32375,8,IHS,2,84
Super Market,Ready To Move,Kannamangala,2,SLnssPr,26125,39,3P,1,55
Drug Store,Ready To Move,Raja Rajeshwari Nagar,2,,23750,9,Locker,3,23
Super Market,Ready To Move,Rajiv Nagar,2,,28875,46,Locker,3,12
Drug Store,43969,Immadihalli,2,PrstaTe,36570,0,Locker,3,16
